age,male,female
0,19,19
1,14.56,14.56
2,11.23,11.23
3,7.781,6.397
4,6.901,6.1
5,6.241,5.84
6,5.731,5.612
7,5.327,5.412
8,5.003,5.234
9,4.74,5.075
10,4.524,4.935
11,4.348,4.809
12,4.203,4.697
13,4.085,4.597
14,3.99,4.508
15,3.916,4.429
16,3.86,4.356
17,3.813,4.285
18,3.785,4.234
19,3.783,4.217
20,3.783,4.217
21,3.783,4.217
22,3.783,4.217
23,3.783,4.217
24,3.783,4.217
25,3.783,4.217
26,3.783,4.217
27,3.783,4.217
28,3.783,4.217
29,3.784,4.217
30,3.786,4.217
31,3.792,4.218
32,3.801,4.221
33,3.814,4.226
34,3.829,4.234
35,3.848,4.244
36,3.87,4.257
37,3.896,4.272
38,3.924,4.289
39,3.952,4.309
40,3.981,4.332
41,4.01,4.357
42,4.04,4.385
43,4.07,4.416
44,4.1,4.45
45,4.131,4.487
46,4.162,4.527
47,4.194,4.571
48,4.227,4.618
49,4.259,4.668
50,4.293,4.718
51,4.327,4.77
52,4.361,4.823
53,4.396,4.878
54,4.432,4.933
55,4.468,4.99
56,4.504,5.047
57,4.542,5.107
58,4.58,5.167
59,4.618,5.23
60,4.657,5.293
61,4.697,5.359
62,4.738,5.425
63,4.779,5.495
64,4.821,5.565
65,4.864,5.637
66,4.908,5.711
67,4.952,5.787
68,4.999,5.865
69,5.051,5.946
70,5.109,6.028
71,5.172,6.113
72,5.241,6.2
73,5.316,6.291
74,5.399,6.383
75,5.489,6.478
76,5.587,6.576
77,5.693,6.677
78,5.81,6.781
79,5.937,6.89
80,6.075,7.013
81,6.226,7.151
82,6.392,7.305
83,6.574,7.48
84,6.773,7.676
85,6.993,7.896
86,7.236,8.145
87,7.506,8.427
88,7.807,8.743
89,8.143,9.103
90,8.522,9.516
91,8.95,9.99
92,9.437,10.536
93,9.997,11.176
94,10.646,11.928
95,11.406,12.824
96,12.307,13.912
97,13.391,15.256
98,14.72,16.941
99,16.385,19.132
100,18.53,22.088
